,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
85,1885-01-01,430.65437513079974,25.640091814675948,505.84707234171714,430.65437513079974,430.65437513079974,-156.81675769164107,-156.81675769164107,-156.81675769164107,-156.81675769164107,-156.81675769164107,-156.81675769164107,0.0,0.0,0.0,273.83761743915863
86,1886-01-01,456.10160822742563,79.83833848573953,543.9647572634777,456.10160822742563,456.10160822742563,-136.74840021668612,-136.74840021668612,-136.74840021668612,-136.74840021668612,-136.74840021668612,-136.74840021668612,0.0,0.0,0.0,319.35320801073954
87,1887-01-01,481.5488413240518,135.1695417473083,593.1369262355859,481.5488413240518,481.5488413240518,-116.06628606027017,-116.06628606027017,-116.06628606027017,-116.06628606027017,-116.06628606027017,-116.06628606027017,0.0,0.0,0.0,365.48255526378165
88,1888-01-01,506.9960744206777,194.1244847418253,652.8572501156488,506.9960744206777,506.9960744206777,-94.7954357277359,-94.7954357277359,-94.7954357277359,-94.7954357277359,-94.7954357277359,-94.7954357277359,0.0,0.0,0.0,412.20063869294177
89,1889-01-01,532.5130259641439,135.6099675715506,605.668312870102,532.5130259641439,532.5130259641439,-156.81675769134768,-156.81675769134768,-156.81675769134768,-156.81675769134768,-156.81675769134768,-156.81675769134768,0.0,0.0,0.0,375.69626827279626
90,1890-01-01,557.9602590607702,173.74587869984134,661.0145224664479,557.9602590607702,557.9602590607702,-136.74840021665761,-136.74840021665761,-136.74840021665761,-136.74840021665761,-136.74840021665761,-136.74840021665761,0.0,0.0,0.0,421.2118588441126
91,1891-01-01,583.4074921573957,233.63349838765825,680.1735431600614,583.4074921573957,583.4074921573957,-116.06628606042626,-116.06628606042626,-116.06628606042626,-116.06628606042626,-116.06628606042626,-116.06628606042626,0.0,0.0,0.0,467.3412060969695
92,1892-01-01,613.3885804010989,288.4476099677447,744.486348926637,613.3885804010989,613.3885804010989,-94.7954357276672,-94.7954357276672,-94.7954357276672,-94.7954357276672,-94.7954357276672,-94.7954357276672,0.0,0.0,0.0,518.5931446734318
93,1893-01-01,643.451808612593,229.92034811016572,709.2392276093148,643.451808612593,643.451808612593,-156.81675769152784,-156.81675769152784,-156.81675769152784,-156.81675769152784,-156.81675769152784,-156.81675769152784,0.0,0.0,0.0,486.63505092106516
94,1894-01-01,673.4328968562962,298.7531180275568,782.3520974510245,673.4328968562962,673.4328968562962,-136.74840021668942,-136.74840021668942,-136.74840021668942,-136.74840021668942,-136.74840021668942,-136.74840021668942,0.0,0.0,0.0,536.6844966396068
